"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"hudtnnut  ","P",04/07/2015 22:00,1,1,2         ,1         ,"",0.002,<-4> [SBL] (CHB) ,0.08,<1> (CHB) ,"","",0.33,<1> (CHB) ,"",<0>  ,0.74,<1> (CHB) ,
"hudtnnut  ","P",04/08/2015 0:30,1,1,2         ,1         ,"",0.008,<1> (CHB) ,0.09,<1> (CHB) ,"","",0.52,<1> (CHB) ,"",<0>  ,"",<-2> [GDM] (CSM) ,
"hudtnnut  ","P",04/08/2015 3:00,1,1,2         ,1         ,"",0.01,<1> (CHB) ,0.1,<1> (CHB) ,"","",0.56,<1> (CHB) ,"",<0>  ,1.87,<1> (CHB) ,
"hudtnnut  ","P",04/08/2015 5:30,1,1,2         ,1         ,"",0.009,<1> (CHB) ,0.11,<1> (CHB) ,"","",0.55,<1> (CHB) ,"",<0>  ,1.92,<1> (CHB) ,
"hudtnnut  ","P",04/08/2015 8:00,1,1,2         ,1         ,"",0.006,<1> (CHB) ,0.1,<1> (CHB) ,"","",0.48,<1> (CHB) ,"",<0>  ,0.95,<1> (CHB) ,
"hudtnnut  ","P",04/08/2015 10:30,1,1,2         ,1         ,"{CCC} {PLR} {TSE} {WS0}",0.003,<1> (CHB) ,0.12,<1> (CHB) ,"","",0.42,<1> (CHB) ,"",<0>  ,0.6,<1> (CHB) ,
"hudtnnut  ","P",04/08/2015 10:34,1,1,1         ,1         ,"{CCC} {PLR} {TSE} {WS0}",0.012,<1> (CHB) ,0.09,<1> (CHB) ,"","",0.43,<1> (CHB) ,"",<0>  ,0.99,<1> (CHB) ,
"hudtnnut  ","P",04/08/2015 10:35,1,1,1         ,2         ,"{CCC} {PLR} {TSE} {WS0}",0.01,<1> (CHB) ,0.13,<1> (CHB) ,"","",0.44,<1> (CHB) ,"",<0>  ,0.66,<1> (CHB) ,
"hudtnnut  ","P",04/08/2015 13:00,1,1,2         ,1         ,"",0.007,<1> (CHB) ,0.1,<1> (CHB) ,"","",0.53,<1> (CHB) ,"",<0>  ,1.51,<1> (CHB) ,
"hudtnnut  ","P",04/08/2015 15:30,1,1,2         ,1         ,"",0.009,<1> (CHB) ,0.09,<1> (CHB) ,"","",0.55,<1> (CHB) ,"",<0>  ,1.59,<1> (CHB) ,
"hudtnnut  ","P",04/08/2015 18:00,1,1,2         ,1         ,"",0.008,<1> (CHB) ,0.1,<1> (CHB) ,"","",0.55,<1> (CHB) ,"",<0>  ,1.52,<1> (CHB) ,
"hudtnnut  ","P",04/08/2015 20:30,1,1,2         ,1         ,"",0.005,<1> (CHB) ,0.1,<1> (CHB) ,"","",0.5,<1> (CHB) ,"",<0>  ,1.03,<1> (CHB) ,
"hudtnnut  ","P",04/08/2015 23:00,1,1,2         ,1         ,"",0.004,<1> (CHB) ,0.1,<1> (CHB) ,"","",0.45,<1> (CHB) ,"",<0>  ,1.09,<1> (CHB) ,
