"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"hudtsnut  ","P",04/09/2013 19:00,1,1,2         ,1         ,"",0.016,<0>  ,0.09,<0> (CSM) ,"","",0.48,<0> (CSM) ,"",<0>  ,0.26,<0> (CSM) ,
"hudtsnut  ","P",04/09/2013 21:30,1,1,2         ,1         ,"",0.013,<0>  ,0.07,<0> (CSM) ,"","",0.54,<0> (CSM) ,"",<0>  ,0.22,<0> (CSM) ,
"hudtsnut  ","P",04/10/2013 0:00,1,1,2         ,1         ,"",0.012,<0>  ,0.08,<0> (CSM) ,"","",0.54,<0> (CSM) ,"",<0>  ,0.33,<0> (CSM) ,
"hudtsnut  ","P",04/10/2013 2:30,1,1,2         ,1         ,"",0.012,<0>  ,0.08,<0> (CSM) ,"","",0.53,<0> (CSM) ,"",<0>  ,0.84,<0> (CSM) ,
"hudtsnut  ","P",04/10/2013 5:00,1,1,2         ,1         ,"",0.009,<0>  ,0.15,<0> (CSM) ,"","",0.54,<0> (CSM) ,"",<0>  ,0.51,<0> (CSM) ,
"hudtsnut  ","P",04/10/2013 7:30,1,1,2         ,1         ,"",0.006,<0>  ,0.09,<0> (CSM) ,"","",0.5,<0> (CSM) ,"",<0>  ,0.95,<0> (CSM) ,
"hudtsnut  ","P",04/10/2013 8:39,1,1,1         ,1         ,"{CPB} {PNP} {WS1}",0.009,<0>  ,0.08,<0> (CSM) ,"","",0.5,<0> (CSM) ,"",<0>  ,0.3,<0> (CSM) ,
"hudtsnut  ","P",04/10/2013 8:40,1,1,1         ,2         ,"{CPB} {PNP} {WS1}",0.007,<0>  ,0.07,<0> (CSM) ,"","",0.5,<0> (CSM) ,"",<0>  ,0.46,<0> (CSM) ,
"hudtsnut  ","P",04/10/2013 10:00,1,1,2         ,1         ,"",0.011,<0>  ,0.07,<0> (CSM) ,"","",0.53,<0> (CSM) ,"",<0>  ,0.28,<0> (CSM) ,
"hudtsnut  ","P",04/10/2013 12:30,1,1,2         ,1         ,"",0.011,<0>  ,0.07,<0> (CSM) ,"","",0.54,<0> (CSM) ,"",<0>  ,0.64,<0> (CSM) ,
"hudtsnut  ","P",04/10/2013 15:00,1,1,2         ,1         ,"",0.008,<0>  ,0.06,<0> (CSM) ,"","",0.52,<0> (CSM) ,"",<0>  ,0.73,<0> (CSM) ,
"hudtsnut  ","P",04/10/2013 17:30,1,1,2         ,1         ,"{COC} {PNP} {WS0}",0.009,<0>  ,0.07,<0> (CSM) ,"","",0.52,<0> (CSM) ,"",<0>  ,0.72,<0> (CSM) ,
"hudtsnut  ","P",04/10/2013 20:00,1,1,2         ,1         ,"",0.008,<0>  ,0.08,<0> (CSM) ,"","",0.5,<0> (CSM) ,"",<0>  ,1.24,<0> (CSM) ,
"hudtsnut  ","P",04/10/2013 22:30,1,1,2         ,1         ,"",0.012,<0>  ,0.08,<0> (CSM) ,"","",0.53,<0> (CSM) ,"",<0>  ,0.36,<0> (CSM) ,
"hudtsnut  ","P",05/15/2013 23:00,1,1,2         ,1         ,"",0.002,<-4> [SBL] ,0.04,<0> (CSM) ,"","",0.36,<0> (CSM) ,"",<0>  ,3.41,<0> (CSM) ,
"hudtsnut  ","P",05/16/2013 1:30,1,1,2         ,1         ,"",0.002,<0>  ,0.03,<0> (CSM) ,"","",0.42,<0> (CSM) ,"",<0>  ,2.29,<0> (CSM) ,
"hudtsnut  ","P",05/16/2013 4:00,1,1,2         ,1         ,"",0.002,<-4> [SBL] ,0.02,<-4> [SBL] (CSM) ,"","",0.42,<0> (CSM) ,"",<0>  ,1.74,<0> (CSM) ,
"hudtsnut  ","P",05/16/2013 6:30,1,1,2         ,1         ,"",0.003,<0>  ,0.02,<0> (CSM) ,"","",0.41,<0> (CSM) ,"",<0>  ,1.56,<0> (CSM) ,
"hudtsnut  ","P",05/16/2013 9:00,1,1,2         ,1         ,"",0.002,<0>  ,0.02,<0> (CSM) ,"","",0.37,<0> (CSM) ,"",<0>  ,1.16,<0> [GSM] (CDR) ,
"hudtsnut  ","P",05/16/2013 11:15,1,1,1         ,1         ,"{CSP} {PNP} {WS1}",0.003,<0>  ,0.02,<-4> [SBL] (CSM) ,"","",0.34,<0> (CSM) ,"",<0>  ,1.22,<0> (CSM) ,
"hudtsnut  ","P",05/16/2013 11:16,1,1,1         ,2         ,"{CSP} {PNP} {WS1}",0.006,<0>  ,0.03,<0> (CSM) ,"","",0.34,<0> (CSM) ,"",<0>  ,2.08,<0> (CSM) ,
"hudtsnut  ","P",05/16/2013 11:30,1,1,2         ,1         ,"",0.002,<-4> [SBL] ,0.08,<0> (CSM) ,"","",0.32,<0> (CSM) ,"",<0>  ,3.46,<0> (CSM) ,
"hudtsnut  ","P",05/16/2013 14:00,1,1,2         ,1         ,"",0.002,<-4> [SBL] ,0.02,<-4> [SBL] (CSM) ,"","",0.35,<0> (CSM) ,"",<0>  ,3.01,<0> (CSM) ,
"hudtsnut  ","P",05/16/2013 16:30,1,1,2         ,1         ,"",0.002,<-4> [SBL] ,0.02,<0> (CSM) ,"","",0.38,<0> (CSM) ,"",<0>  ,2.96,<0> (CSM) ,
"hudtsnut  ","P",05/16/2013 19:00,1,1,2         ,1         ,"",0.002,<-4> [SBL] ,0.02,<-4> [SBL] (CSM) ,"","",0.38,<0> (CSM) ,"",<0>  ,4.03,<0> [GSM] (CDR) ,
"hudtsnut  ","P",05/16/2013 21:30,1,1,2         ,1         ,"{CCL} {PNP} {WS0}",0.002,<-4> [SBL] ,0.03,<0> (CSM) ,"","",0.36,<0> (CSM) ,"",<0>  ,2.89,<0> (CSM) ,
"hudtsnut  ","P",05/17/2013 0:00,1,1,2         ,1         ,"",0.003,<0>  ,0.02,<0> (CSM) ,"","",0.34,<0> (CSM) ,"",<0>  ,2.86,<0> (CSM) ,
"hudtsnut  ","P",05/17/2013 2:30,1,1,2         ,1         ,"",0.002,<-4> [SBL] ,0.04,<0> (CSM) ,"","",0.39,<0> (CSM) ,"",<0>  ,2.96,<0> (CSM) ,
"hudtsnut  ","P",06/12/2013 23:00,1,1,2         ,1         ,"",0.006,<0>  ,0.08,<0> (CSM) ,"","",0.45,<0> (CSM) ,"",<0>  ,4.55,<0> (CSM) ,
"hudtsnut  ","P",06/13/2013 1:30,1,1,2         ,1         ,"",0.013,<0>  ,0.09,<0> (CSM) ,"","",0.43,<0> (CSM) ,"",<0>  ,2.54,<0> (CSM) ,
"hudtsnut  ","P",06/13/2013 4:00,1,1,2         ,1         ,"",0.016,<0>  ,0.07,<0> (CSM) ,"","",0.43,<0> (CSM) ,"",<0>  ,3.41,<0> (CSM) ,
"hudtsnut  ","P",06/13/2013 6:30,1,1,2         ,1         ,"",0.015,<0>  ,0.07,<0> (CSM) ,"","",0.42,<0> (CSM) ,"",<0>  ,3.14,<0> (CSM) ,
"hudtsnut  ","P",06/13/2013 9:00,1,1,2         ,1         ,"",0.008,<0>  ,0.06,<0> (CSM) ,"","",0.38,<0> (CSM) ,"",<0>  ,5.41,<0> (CSM) ,
"hudtsnut  ","P",06/13/2013 11:30,1,1,2         ,1         ,"",0.008,<0>  ,0.07,<0> (CSM) ,"","",0.34,<0> (CSM) ,"",<0>  ,4.1,<0> (CSM) ,
"hudtsnut  ","P",06/13/2013 14:00,1,1,2         ,1         ,"",0.015,<0>  ,0.13,<0> (CSM) ,"","",0.43,<0> (CSM) ,"",<0>  ,2.95,<0> (CSM) ,
"hudtsnut  ","P",06/13/2013 16:30,1,1,2         ,1         ,"",0.016,<0>  ,0.06,<0> (CSM) ,"","",0.44,<0> (CSM) ,"",<0>  ,2.13,<0> (CSM) ,
