"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"hudtsnut  ","P",04/10/2019 11:09,1,1,1         ,1         ,"{CSP} {PNP} {TSE} {WS1}",0.005,<0>  ,0.06,<0>  ,"","",0.41,<0>  ,"",<0>  ,2.4,<1> (CHB) ,
"hudtsnut  ","P",04/10/2019 11:10,1,1,1         ,2         ,"",0.005,<0>  ,0.06,<0>  ,"","",0.4,<0>  ,"",<0>  ,3.72,<1> (CHB) ,
"hudtsnut  ","P",04/23/2019 10:30,1,1,2         ,1         ,"",0.008,<0>  ,0.07,<0>  ,"","",0.36,<0>  ,"",<0>  ,2.56,<1> (CHB) ,
"hudtsnut  ","P",04/23/2019 13:00,1,1,2         ,1         ,"",0.01,<0>  ,0.06,<0>  ,"","",0.37,<0>  ,"",<0>  ,2.65,<1> (CHB) ,
"hudtsnut  ","P",04/23/2019 15:30,1,1,2         ,1         ,"",0.009,<0>  ,0.04,<0>  ,"","",0.36,<0>  ,"",<0>  ,2.45,<1> (CHB) ,
"hudtsnut  ","P",04/23/2019 18:00,1,1,2         ,1         ,"",0.008,<0>  ,0.06,<0>  ,"","",0.35,<0>  ,"",<0>  ,1.84,<1> (CHB) ,
"hudtsnut  ","P",04/23/2019 20:30,1,1,2         ,1         ,"",0.009,<0>  ,0.06,<0>  ,"","",0.36,<0>  ,"",<0>  ,2.64,<1> (CHB) ,
"hudtsnut  ","P",04/23/2019 23:00,1,1,2         ,1         ,"","",<-2> [GDM] ,"",<-2> [GDM] ,"","","",<-2> [GDM] ,"",<0>  ,"",<-2> [GDM] ,
"hudtsnut  ","P",04/24/2019 1:30,1,1,2         ,1         ,"","",<-2> [GDM] ,"",<-2> [GDM] ,"","","",<-2> [GDM] ,"",<0>  ,"",<-2> [GDM] ,
"hudtsnut  ","P",04/24/2019 4:00,1,1,2         ,1         ,"","",<-2> [GDM] ,"",<-2> [GDM] ,"","","",<-2> [GDM] ,"",<0>  ,"",<-2> [GDM] ,
"hudtsnut  ","P",04/24/2019 6:30,1,1,2         ,1         ,"","",<-2> [GDM] ,"",<-2> [GDM] ,"","","",<-2> [GDM] ,"",<0>  ,"",<-2> [GDM] ,
"hudtsnut  ","P",04/24/2019 9:00,1,1,2         ,1         ,"{CSP} {PNP} {TSL} {WS1}","",<-2> [GDM] ,"",<-2> [GDM] ,"","","",<-2> [GDM] ,"",<0>  ,"",<-2> [GDM] ,
"hudtsnut  ","P",04/24/2019 11:30,1,1,2         ,1         ,"",0.007,<0>  ,0.08,<0>  ,"","",0.34,<0>  ,"",<0>  ,4.96,<1> [GSM] (CHB) ,
"hudtsnut  ","P",04/24/2019 14:00,1,1,2         ,1         ,"",0.009,<0>  ,0.05,<0>  ,"","",0.33,<0>  ,"",<0>  ,4.12,<1> (CHB) ,
"hudtsnut  ","P",05/22/2019 10:41,1,1,1         ,1         ,"{CSP} {PNP} {TSE} {WS2}",0.01,<0>  ,0.06,<0>  ,"","",0.3,<0>  ,"",<0>  ,5.06,<1> (CHB) ,
"hudtsnut  ","P",05/22/2019 10:42,1,1,1         ,2         ,"",0.008,<0>  ,0.05,<0>  ,"","",0.31,<0>  ,"",<0>  ,4.99,<1> (CHB) ,
"hudtsnut  ","P",05/22/2019 10:45,1,1,2         ,1         ,"",0.032,<1> [GQS] ,0.06,<0>  ,"","",0.02,<-4> [SBL] ,"",<0>  ,2.15,<1> (CHB) ,
"hudtsnut  ","P",05/22/2019 13:15,1,1,2         ,1         ,"",0.009,<0>  ,0.05,<0>  ,"","",0.31,<0>  ,"",<0>  ,4.18,<1> (CHB) ,
"hudtsnut  ","P",05/22/2019 15:45,1,1,2         ,1         ,"",0.006,<0>  ,0.05,<0>  ,"","",0.32,<0>  ,"",<0>  ,4.79,<1> (CHB) ,
"hudtsnut  ","P",05/22/2019 18:15,1,1,2         ,1         ,"",0.007,<0>  ,0.05,<0>  ,"","",0.31,<0>  ,"",<0>  ,6.54,<1> (CHB) ,
"hudtsnut  ","P",05/22/2019 20:45,1,1,2         ,1         ,"",0.007,<0>  ,0.04,<0>  ,"","",0.31,<0>  ,"",<0>  ,7.77,<1> (CHB) ,
"hudtsnut  ","P",05/22/2019 23:15,1,1,2         ,1         ,"",0.009,<0>  ,0.05,<0>  ,"","",0.32,<0>  ,"",<0>  ,4.31,<1> (CHB) ,
"hudtsnut  ","P",05/23/2019 1:45,1,1,2         ,1         ,"",0.009,<0>  ,0.05,<0>  ,"","",0.32,<0>  ,"",<0>  ,5.44,<1> (CHB) ,
"hudtsnut  ","P",05/23/2019 4:15,1,1,2         ,1         ,"",0.01,<0>  ,0.05,<0>  ,"","",0.32,<0>  ,"",<0>  ,5.06,<1> (CHB) ,
"hudtsnut  ","P",05/23/2019 6:45,1,1,2         ,1         ,"",0.009,<0>  ,0.05,<0>  ,"","",0.32,<0>  ,"",<0>  ,5.04,<1> (CHB) ,
"hudtsnut  ","P",05/23/2019 9:15,1,1,2         ,1         ,"",0.003,<0>  ,0.05,<0>  ,"","",0.29,<0>  ,"",<0>  ,19.82,<1> [GSM] (CHB) ,
"hudtsnut  ","P",05/23/2019 11:45,1,1,2         ,1         ,"",0.004,<0>  ,0.06,<0>  ,"","",0.3,<0>  ,"",<0>  ,18.0,<1> [GSM] (CHB) ,
"hudtsnut  ","P",05/23/2019 14:15,1,1,2         ,1         ,"","",<-2> [GDM] ,"",<-2> [GDM] ,"","","",<-2> [GDM] ,"",<0>  ,"",<-2> [GDM] ,
"hudtsnut  ","P",06/18/2019 21:00,1,1,2         ,1         ,"{CSM}",0.011,<0>  ,0.06,<0>  ,"","",0.22,<0>  ,"",<0>  ,16.27,<1> [GSM] (CHB) ,
"hudtsnut  ","P",06/18/2019 23:30,1,1,2         ,1         ,"{CSM}",0.005,<0>  ,0.03,<0>  ,"","",0.37,<0>  ,"",<0>  ,19.1,<1> [GSM] (CHB) ,
"hudtsnut  ","P",06/19/2019 2:00,1,1,2         ,1         ,"{CSM}",0.005,<0>  ,0.02,<0>  ,"","",0.36,<0>  ,"",<0>  ,17.59,<1> [GSM] (CHB) ,
"hudtsnut  ","P",06/19/2019 4:30,1,1,2         ,1         ,"{CSM}",0.005,<0>  ,0.03,<0>  ,"","",0.36,<0>  ,"",<0>  ,17.77,<1> [GSM] (CHB) ,
"hudtsnut  ","P",06/19/2019 7:00,1,1,2         ,1         ,"{CSM}",0.005,<0>  ,0.03,<0>  ,"","",0.31,<0>  ,"",<0>  ,24.89,<1> [GSM] (CHB) ,
"hudtsnut  ","P",06/19/2019 9:30,1,1,2         ,1         ,"{COC} {PNP} {TSL} {WS1} {CSM}",0.005,<0>  ,0.04,<0>  ,"","",1.15,<1> (CIF) ,"",<0>  ,22.0,<1> [GSM] (CHB) ,
"hudtsnut  ","P",06/19/2019 9:34,1,1,1         ,1         ,"{COC} {PNP} {TSL} {WS1}",0.004,<0>  ,0.03,<0>  ,"","",0.22,<0>  ,"",<0>  ,12.76,<1> [GSM] (CHB) ,
"hudtsnut  ","P",06/19/2019 9:35,1,1,1         ,2         ,"",0.004,<0>  ,0.04,<0>  ,"","",0.22,<0>  ,"",<0>  ,15.13,<1> [GSM] (CHB) ,
"hudtsnut  ","P",06/19/2019 12:00,1,1,2         ,1         ,"{CSM}",0.003,<0>  ,0.04,<0>  ,"","",0.35,<0>  ,"",<0>  ,26.46,<1> [GSM] (CHB) ,
"hudtsnut  ","P",06/19/2019 14:30,1,1,2         ,1         ,"{CSM}",0.004,<0>  ,0.02,<-4> [SBL] ,"","",0.36,<0>  ,"",<0>  ,47.88,<1> [GSM] (CHB) ,
"hudtsnut  ","P",06/19/2019 17:00,1,1,2         ,1         ,"{CSM}",0.005,<0>  ,0.02,<-4> [SBL] ,"","",0.32,<0>  ,"",<0>  ,46.86,<1> [GSM] (CHB) ,
