,Parameters,Mean Accuracy,Std Dev Accuracy
49,"{'C': 2.636650898730358, 'gamma': 0.0006951927961775605, 'kernel': 'rbf'}",0.9189939652085224,0.0028678219643018866
50,"{'C': 2.636650898730358, 'gamma': 0.0014384498882876629, 'kernel': 'rbf'}",0.9225758229558287,0.0026723933043397
51,"{'C': 2.636650898730358, 'gamma': 0.002976351441631316, 'kernel': 'rbf'}",0.9256065477930429,0.0018898170371585829
52,"{'C': 2.636650898730358, 'gamma': 0.00615848211066026, 'kernel': 'rbf'}",0.9282697944492743,0.0016722616326265251
53,"{'C': 2.636650898730358, 'gamma': 0.012742749857031322, 'kernel': 'rbf'}",0.9298310283694674,0.0011745701216217905
54,"{'C': 2.636650898730358, 'gamma': 0.026366508987303555, 'kernel': 'rbf'}",0.9318516521965806,0.002063288356053992
55,"{'C': 2.636650898730358, 'gamma': 0.05455594781168514, 'kernel': 'rbf'}",0.931392346651043,0.003135905268691999
56,"{'C': 2.636650898730358, 'gamma': 0.11288378916846883, 'kernel': 'rbf'}",0.9315760435608432,0.0028747059101056275
57,"{'C': 2.636650898730358, 'gamma': 0.23357214690901212, 'kernel': 'rbf'}",0.9320352647449986,0.003031745377824172
58,"{'C': 2.636650898730358, 'gamma': 0.4832930238571752, 'kernel': 'rbf'}",0.9298311970922318,0.0019499126102786677
59,"{'C': 2.636650898730358, 'gamma': 1.0, 'kernel': 'rbf'}",0.9219329470425641,0.002724547213583341
60,"{'C': 4.281332398719393, 'gamma': 1e-06, 'kernel': 'rbf'}",0.25826596022445186,0.00019118253883171563
61,"{'C': 4.281332398719393, 'gamma': 2.06913808111479e-06, 'kernel': 'rbf'}",0.25826596022445186,0.00019118253883171563
62,"{'C': 4.281332398719393, 'gamma': 4.281332398719396e-06, 'kernel': 'rbf'}",0.2823293696137894,0.0036010745031815625
63,"{'C': 4.281332398719393, 'gamma': 8.858667904100832e-06, 'kernel': 'rbf'}",0.5178169552036842,0.006189948265193936
64,"{'C': 4.281332398719393, 'gamma': 1.8329807108324375e-05, 'kernel': 'rbf'}",0.8080473166120639,0.008895505961633372
65,"{'C': 4.281332398719393, 'gamma': 3.792690190732254e-05, 'kernel': 'rbf'}",0.8927273317802402,0.006892202929454899
66,"{'C': 4.281332398719393, 'gamma': 7.847599703514606e-05, 'kernel': 'rbf'}",0.9083403458732311,0.00455244021107064
67,"{'C': 4.281332398719393, 'gamma': 0.0001623776739188721, 'kernel': 'rbf'}",0.9143099260024137,0.0029246545778877104
68,"{'C': 4.281332398719393, 'gamma': 0.0003359818286283781, 'kernel': 'rbf'}",0.9184429166598124,0.0030664037856160697
69,"{'C': 4.281332398719393, 'gamma': 0.0006951927961775605, 'kernel': 'rbf'}",0.9209228460324631,0.003449432859629529
70,"{'C': 4.281332398719393, 'gamma': 0.0014384498882876629, 'kernel': 'rbf'}",0.9252392805155155,0.0024906634440794127
71,"{'C': 4.281332398719393, 'gamma': 0.002976351441631316, 'kernel': 'rbf'}",0.9277187880812552,0.0016494444824549682
72,"{'C': 4.281332398719393, 'gamma': 0.00615848211066026, 'kernel': 'rbf'}",0.9289126703625389,0.0012050006170034227
73,"{'C': 4.281332398719393, 'gamma': 0.012742749857031322, 'kernel': 'rbf'}",0.9305658581893601,0.00188739869516879
74,"{'C': 4.281332398719393, 'gamma': 0.026366508987303555, 'kernel': 'rbf'}",0.9311169067380701,0.0022842807234540008
75,"{'C': 4.281332398719393, 'gamma': 0.05455594781168514, 'kernel': 'rbf'}",0.9312088184640069,0.0027419047157164803
76,"{'C': 4.281332398719393, 'gamma': 0.11288378916846883, 'kernel': 'rbf'}",0.9322188351127257,0.003269914568327138
77,"{'C': 4.281332398719393, 'gamma': 0.23357214690901212, 'kernel': 'rbf'}",0.9316679974674713,0.002484890295796735
78,"{'C': 4.281332398719393, 'gamma': 0.4832930238571752, 'kernel': 'rbf'}",0.9284536600818389,0.0019451863802684881
79,"{'C': 4.281332398719393, 'gamma': 1.0, 'kernel': 'rbf'}",0.9199124919382153,0.0035014453628488644
80,"{'C': 6.951927961775605, 'gamma': 1e-06, 'kernel': 'rbf'}",0.25826596022445186,0.00019118253883171563
81,"{'C': 6.951927961775605, 'gamma': 2.06913808111479e-06, 'kernel': 'rbf'}",0.261297022507195,0.0011649452214212062
82,"{'C': 6.951927961775605, 'gamma': 4.281332398719396e-06, 'kernel': 'rbf'}",0.4139421525565927,0.0032402547823973315
83,"{'C': 6.951927961775605, 'gamma': 8.858667904100832e-06, 'kernel': 'rbf'}",0.723733978191739,0.007853640739374435
84,"{'C': 6.951927961775605, 'gamma': 1.8329807108324375e-05, 'kernel': 'rbf'}",0.8803285285308086,0.007256609970865601
85,"{'C': 6.951927961775605, 'gamma': 3.792690190732254e-05, 'kernel': 'rbf'}",0.904942522481254,0.006175801930937031
86,"{'C': 6.951927961775605, 'gamma': 7.847599703514606e-05, 'kernel': 'rbf'}",0.91366709226984,0.003306867183646624
87,"{'C': 6.951927961775605, 'gamma': 0.0001623776739188721, 'kernel': 'rbf'}",0.9168815561975456,0.0027683442299826374
88,"{'C': 6.951927961775605, 'gamma': 0.0003359818286283781, 'kernel': 'rbf'}",0.9194532707540599,0.0029668641029435287
