,Parameters,Mean Accuracy,Std Dev Accuracy
21,"{'C': 0.0001, 'gamma': 1e-05, 'kernel': 'rbf'}",0.2605245597480629,0.00010863455857967885
20,"{'C': 0.0001, 'gamma': 1e-06, 'kernel': 'rbf'}",0.2605245597480629,0.00010863455857967885
19,"{'C': 1e-05, 'gamma': 1000.0, 'kernel': 'rbf'}",0.2605245597480629,0.00010863455857967885
18,"{'C': 1e-05, 'gamma': 100.0, 'kernel': 'rbf'}",0.2605245597480629,0.00010863455857967885
17,"{'C': 1e-05, 'gamma': 10.0, 'kernel': 'rbf'}",0.2605245597480629,0.00010863455857967885
16,"{'C': 1e-05, 'gamma': 1.0, 'kernel': 'rbf'}",0.2605245597480629,0.00010863455857967885
15,"{'C': 1e-05, 'gamma': 0.1, 'kernel': 'rbf'}",0.2605245597480629,0.00010863455857967885
14,"{'C': 1e-05, 'gamma': 0.01, 'kernel': 'rbf'}",0.2605245597480629,0.00010863455857967885
13,"{'C': 1e-05, 'gamma': 0.001, 'kernel': 'rbf'}",0.2605245597480629,0.00010863455857967885
11,"{'C': 1e-05, 'gamma': 1e-05, 'kernel': 'rbf'}",0.2605245597480629,0.00010863455857967885
1,"{'C': 1e-06, 'gamma': 1e-05, 'kernel': 'rbf'}",0.2605245597480629,0.00010863455857967885
10,"{'C': 1e-05, 'gamma': 1e-06, 'kernel': 'rbf'}",0.2605245597480629,0.00010863455857967885
9,"{'C': 1e-06, 'gamma': 1000.0, 'kernel': 'rbf'}",0.2605245597480629,0.00010863455857967885
8,"{'C': 1e-06, 'gamma': 100.0, 'kernel': 'rbf'}",0.2605245597480629,0.00010863455857967885
7,"{'C': 1e-06, 'gamma': 10.0, 'kernel': 'rbf'}",0.2605245597480629,0.00010863455857967885
6,"{'C': 1e-06, 'gamma': 1.0, 'kernel': 'rbf'}",0.2605245597480629,0.00010863455857967885
5,"{'C': 1e-06, 'gamma': 0.1, 'kernel': 'rbf'}",0.2605245597480629,0.00010863455857967885
4,"{'C': 1e-06, 'gamma': 0.01, 'kernel': 'rbf'}",0.2605245597480629,0.00010863455857967885
3,"{'C': 1e-06, 'gamma': 0.001, 'kernel': 'rbf'}",0.2605245597480629,0.00010863455857967885
2,"{'C': 1e-06, 'gamma': 0.0001, 'kernel': 'rbf'}",0.2605245597480629,0.00010863455857967885
22,"{'C': 0.0001, 'gamma': 0.0001, 'kernel': 'rbf'}",0.2605245597480629,0.00010863455857967885
23,"{'C': 0.0001, 'gamma': 0.001, 'kernel': 'rbf'}",0.2605245597480629,0.00010863455857967885
24,"{'C': 0.0001, 'gamma': 0.01, 'kernel': 'rbf'}",0.2605245597480629,0.00010863455857967885
25,"{'C': 0.0001, 'gamma': 0.1, 'kernel': 'rbf'}",0.2605245597480629,0.00010863455857967885
49,"{'C': 0.01, 'gamma': 1000.0, 'kernel': 'rbf'}",0.2605245597480629,0.00010863455857967885
48,"{'C': 0.01, 'gamma': 100.0, 'kernel': 'rbf'}",0.2605245597480629,0.00010863455857967885
47,"{'C': 0.01, 'gamma': 10.0, 'kernel': 'rbf'}",0.2605245597480629,0.00010863455857967885
42,"{'C': 0.01, 'gamma': 0.0001, 'kernel': 'rbf'}",0.2605245597480629,0.00010863455857967885
41,"{'C': 0.01, 'gamma': 1e-05, 'kernel': 'rbf'}",0.2605245597480629,0.00010863455857967885
40,"{'C': 0.01, 'gamma': 1e-06, 'kernel': 'rbf'}",0.2605245597480629,0.00010863455857967885
39,"{'C': 0.001, 'gamma': 1000.0, 'kernel': 'rbf'}",0.2605245597480629,0.00010863455857967885
38,"{'C': 0.001, 'gamma': 100.0, 'kernel': 'rbf'}",0.2605245597480629,0.00010863455857967885
37,"{'C': 0.001, 'gamma': 10.0, 'kernel': 'rbf'}",0.2605245597480629,0.00010863455857967885
36,"{'C': 0.001, 'gamma': 1.0, 'kernel': 'rbf'}",0.2605245597480629,0.00010863455857967885
34,"{'C': 0.001, 'gamma': 0.01, 'kernel': 'rbf'}",0.2605245597480629,0.00010863455857967885
33,"{'C': 0.001, 'gamma': 0.001, 'kernel': 'rbf'}",0.2605245597480629,0.00010863455857967885
32,"{'C': 0.001, 'gamma': 0.0001, 'kernel': 'rbf'}",0.2605245597480629,0.00010863455857967885
31,"{'C': 0.001, 'gamma': 1e-05, 'kernel': 'rbf'}",0.2605245597480629,0.00010863455857967885
30,"{'C': 0.001, 'gamma': 1e-06, 'kernel': 'rbf'}",0.2605245597480629,0.00010863455857967885
29,"{'C': 0.0001, 'gamma': 1000.0, 'kernel': 'rbf'}",0.2605245597480629,0.00010863455857967885
28,"{'C': 0.0001, 'gamma': 100.0, 'kernel': 'rbf'}",0.2605245597480629,0.00010863455857967885
27,"{'C': 0.0001, 'gamma': 10.0, 'kernel': 'rbf'}",0.2605245597480629,0.00010863455857967885
26,"{'C': 0.0001, 'gamma': 1.0, 'kernel': 'rbf'}",0.2605245597480629,0.00010863455857967885
50,"{'C': 0.1, 'gamma': 1e-06, 'kernel': 'rbf'}",0.2605245597480629,0.00010863455857967885
